znacka,model,cena,rok,stav,najeto,palivo,vykon,prevodovka
Kia,Cee´d,249000,2022,Ojeté,209000,Nafta,100,Manuální
Ford,Transit Custom,1075838,2026,Nové,26,Nafta,110,Manuální
Dodge,Ram,1319000,2021,Ojeté,68000,Benzín,295,Automatická
Škoda,Octavia,64000,2006,Ojeté,198191,Benzín,75,Manuální
Volkswagen,Golf,234000,2019,Ojeté,197468,CNG + benzín,96,Automatická
Volkswagen,Up!,139000,2015,Ojeté,137950,Benzín,44,Manuální
Volkswagen,Golf,279000,2016,Ojeté,194649,Nafta,110,Automatická
Škoda,Octavia,155000,2014,Ojeté,160336,Benzín,63,Manuální
Toyota,Avensis,64000,2007,Ojeté,304700,Nafta,110,Manuální
BMW,M2,1633500,2024,Ojeté,24000,Benzín,,Automatická
Ford,Focus,24590,2002,Ojeté,204000,Benzín,74,Manuální
Mercedes-Benz,GLA,399000,2015,Ojeté,80500,Nafta,100,Automatická
Škoda,Yeti,269000,2015,Ojeté,175412,Benzín,118,Manuální
Nissan,LEAF,339000,2020,Ojeté,52201,Elektro,110,Automatická
Seat,Leon,195000,2014,Ojeté,168858,Benzín,90,Manuální
BMW,X3,99000,2005,Ojeté,193515,Nafta,150,Automatická
Ford,S-MAX,148000,2014,Ojeté,293044,Nafta,103,Manuální
Volkswagen,Transporter,260000,2007,Ojeté,239955,Nafta,75,Manuální
Volkswagen,Golf,482000,2022,Ojeté,22784,Benzín,96,Manuální
Škoda,Kamiq,428000,2022,Ojeté,22149,Benzín,81,Manuální
Volkswagen,Golf,424000,2022,Ojeté,49444,Benzín,110,Manuální
Škoda,Fabia,389000,2023,Ojeté,36283,Benzín,70,Manuální
Škoda,Scala,485000,2023,Ojeté,10670,Benzín,81,Manuální
Škoda,Superb,503000,2021,Ojeté,53737,Nafta,110,Automatická
Škoda,Karoq,631000,2023,Ojeté,19492,Benzín,110,Manuální
Škoda,Karoq,611000,2023,Ojeté,33192,Benzín,110,Manuální
Škoda,Scala,216000,2021,Ojeté,133314,Benzín,70,Manuální
Škoda,Octavia,374000,2022,Ojeté,154878,Nafta,85,Manuální
Škoda,Octavia,377000,2021,Ojeté,123404,Benzín,110,Manuální
Nissan,LEAF,349000,2021,Ojeté,20830,Elektro,110,Automatická
Audi,A4 Avant,842000,2023,Ojeté,38745,Benzín,150,Automatická
Škoda,Fabia,373000,2023,Ojeté,43359,Benzín,70,Manuální
Citroën,C3 Picasso,79000,2010,Ojeté,180516,Nafta,80,Manuální
Seat,Ibiza,65000,2007,Ojeté,212357,Nafta,59,Manuální
Cupra,Formentor,688000,2024,Ojeté,37124,Benzín,140,Automatická
Cupra,Formentor,591000,2023,Ojeté,49716,Benzín,110,Automatická
Volkswagen,ID.4,904000,2024,Ojeté,50732,Elektro,70,Automatická
Volkswagen,Multivan,1076900,2019,Ojeté,52800,Nafta,110,Automatická
Volvo,XC60,1255000,2025,Ojeté,26821,Benzín,194,Automatická
Volkswagen,Touran,353000,2021,Ojeté,244081,Benzín,110,Automatická
Renault,Koleos,769000,2021,Ojeté,71000,Nafta,140,Automatická
Volkswagen,ID.4,912000,2022,Ojeté,17453,Elektro,150,Automatická
Škoda,Superb,469000,2020,Ojeté,150000,Nafta,110,Automatická
Volkswagen,Arteon,669000,2023,Ojeté,54551,Nafta,110,Automatická
Škoda,Kodiaq,935000,2022,Ojeté,33993,Nafta,147,Automatická
Audi,A3,506000,2023,Ojeté,55788,Benzín,110,Automatická
Dodge,Ram,1429000,2022,Ojeté,42000,LPG + benzín,306,Automatická
Škoda,Kamiq,534000,2023,Ojeté,34014,Benzín,81,Manuální
Škoda,Kodiaq,714000,2023,Ojeté,71442,Nafta,110,Automatická
Audi,Q3,927000,2023,Ojeté,37137,Nafta,110,Automatická
Volkswagen,Touran,395000,2016,Ojeté,115000,Benzín,110,Automatická
Mercedes-Benz,Třídy E,899000,2018,Ojeté,68058,Benzín,295,Automatická
Škoda,Octavia,289900,2021,Ojeté,257845,Nafta,85,Automatická
Škoda,Octavia,600000,2021,Ojeté,52338,Hybridní,180,Automatická
MG,ZS,490000,2025,,17533,Benzín,85,Manuální
Kia,Cee´d,190000,2016,Ojeté,97910,Benzín,73,Manuální
Škoda,Karoq,450000,2019,Ojeté,115452,Nafta,110,Manuální
Hyundai,i30,440000,2025,,13955,Benzín,74,Manuální
Subaru,Outback,1029000,2025,Nové,12,Benzín,124,Automatická
MG,ZS,330000,2023,Ojeté,61506,Benzín,78,Manuální
MG,ZS,380000,2024,Ojeté,7234,Benzín,78,Manuální
Škoda,Octavia,299000,2019,Ojeté,211000,Nafta,110,Automatická
Subaru,Outback,1089000,2025,Nové,12,Benzín,124,Automatická
Subaru,Outback,999000,2025,Nové,12,Benzín,124,Automatická
Subaru,Outback,999000,2025,Nové,12,Benzín,124,Automatická
Škoda,Kodiaq,685000,2021,Ojeté,97930,Nafta,110,Automatická
Volkswagen,Tiguan,380000,2017,Ojeté,210166,Nafta,140,Automatická
Dodge,Ram,1269000,2022,Ojeté,8500,Benzín,295,Automatická
MG,ZS,480000,2025,,10584,Benzín,85,Manuální
Hyundai,i20,190000,2017,Ojeté,57596,Benzín,55,Manuální
Renault,Trafic,569555,2020,Ojeté,123290,Nafta,107,Manuální
