znacka,model,cena,rok,stav,najeto,vykon,palivo,kapacita_baterie,prevodovka,pohon
Ford,Ranger,888000,2021,Ojeté,56488,157,Nafta,0,Automatická,4x4
Mercedes-Benz,Vito,950000,2021,Ojeté,132500,120,Nafta,0,Automatická,Pohon zadních kol
Škoda,Fabia,282000,2021,Ojeté,53169,70,Benzín,0,Manuální,Pohon předních kol
Dodge,Challenger,1595000,2021,Ojeté,31700,535,Benzín,0,Automatická,Pohon zadních kol
Kia,Carnival,1149500,2021,Ojeté,69300,145,Nafta,0,Automatická,Pohon předních kol
Škoda,Fabia,268000,2021,Ojeté,74871,70,Benzín,0,Manuální,Pohon předních kol
Renault,Trafic,400000,2021,Ojeté,153617,88,Nafta,0,Manuální,
Peugeot,5008,520000,2021,Ojeté,111000,96,Nafta,0,Automatická,Pohon předních kol
Renault,Trafic,580000,2021,Ojeté,90400,110,Nafta,0,Manuální,
Jeep,Grand Cherokee,1450790,2021,Ojeté,55000,268,Benzín,0,Automatická,4x4
Peugeot,508,399555,2021,Ojeté,153000,165,Hybridní,0,Automatická,Pohon předních kol
Škoda,Octavia,265000,2021,Ojeté,312807,85,Nafta,0,Automatická,
Škoda,Octavia,427000,2021,Ojeté,68621,96,CNG + benzín,0,Automatická,Pohon předních kol
RAM,1500,1173700,2021,Ojeté,89198,295,Benzín,0,Automatická,4x4
Jeep,Compass,475000,2021,Ojeté,128000,140,Hybridní,0,Automatická,4x4
Hyundai,i30,400000,2021,Ojeté,69379,117,Benzín,0,Automatická,
Suzuki,Ignis,299000,2021,Ojeté,65357,61,Benzín,0,Manuální,Pohon předních kol
Maserati,Levante,1199999,2021,Ojeté,90000,257,Benzín,0,Automatická,4x4
Hyundai,i30,249009,2021,Ojeté,136000,85,Nafta,0,Manuální,
Škoda,Kodiaq,611000,2021,Ojeté,98185,110,Nafta,0,Automatická,4x4
Land Rover,Range Rover Velar,679000,2021,Ojeté,133000,150,Nafta,0,Automatická,4x4
Škoda,Octavia,359000,2021,Ojeté,99537,96,CNG + benzín,0,Automatická,
Volkswagen,Tiguan,499000,2021,Ojeté,139000,110,Nafta,0,Automatická,
Land Rover,Range Rover Velar,798000,2021,Ojeté,95000,150,Nafta,0,Automatická,4x4
Audi,A6,949900,2021,Ojeté,134607,250,Benzín,0,Automatická,4x4
